ScientificName	AphiaID	Match type	LSID	ScientificName_1	AphiaID_accepted	ScientificName_accepted
Fissurella nigra	532846	exact	urn:lsid:marinespecies.org:taxname:532846	Fissurella nigra	532846	Fissurella nigra
Fissurella picta	527556	exact	urn:lsid:marinespecies.org:taxname:527556	Fissurella picta	527556	Fissurella picta
Fissurella radiosa tixierae	533644	exact	urn:lsid:marinespecies.org:taxname:533644	Fissurella radiosa tixierae	533644	Fissurella radiosa tixierae
Fissurella sp	138013	exact	urn:lsid:marinespecies.org:taxname:138013	Fissurella	138013	Fissurella
Fissurella virescens	575126	exact	urn:lsid:marinespecies.org:taxname:575126	Fissurella virescens	575126	Fissurella virescens
Fucus distichus	145544	exact	urn:lsid:marinespecies.org:taxname:145544	Fucus distichus	145544	Fucus distichus
Gelidiella acerosa	145567	exact	urn:lsid:marinespecies.org:taxname:145567	Gelidiella acerosa	145567	Gelidiella acerosa
Gelidiopsis sp.	144244	exact	urn:lsid:marinespecies.org:taxname:144244	Gelidiopsis	206099	Ceratodictyon
Gelidium chilense	373658	exact	urn:lsid:marinespecies.org:taxname:373658	Gelidium chilense	373658	Gelidium chilense
Gelidium sclerophyllum	375455	exact	urn:lsid:marinespecies.org:taxname:375455	Gelidium sclerophyllum	375455	Gelidium sclerophyllum
Gelidium sp.	144135	exact	urn:lsid:marinespecies.org:taxname:144135	Gelidium	144135	Gelidium
Gemophos ringens	491015	exact	urn:lsid:marinespecies.org:taxname:491015	Gemophos ringens	491015	Gemophos ringens
Gemophos sp.	415414	exact	urn:lsid:marinespecies.org:taxname:415414	Gemophos	415414	Gemophos
Gigartina skottsbergii	371735	exact	urn:lsid:marinespecies.org:taxname:371735	Gigartina skottsbergii	371735	Gigartina skottsbergii
Gracilaria sp.	144188	exact	urn:lsid:marinespecies.org:taxname:144188	Gracilaria	144188	Gracilaria
Grapsus grapsus	422188	exact	urn:lsid:marinespecies.org:taxname:422188	Grapsus grapsus	422188	Grapsus grapsus
GYMNOGONGRUS	144168	exact	urn:lsid:marinespecies.org:taxname:144168	Gymnogongrus	144168	Gymnogongrus
Haliclona sp	131834	exact	urn:lsid:marinespecies.org:taxname:131834	Haliclona	131834	Haliclona
Halimeda cuneata	211514	exact	urn:lsid:marinespecies.org:taxname:211514	Halimeda cuneata	211514	Halimeda cuneata
Heliaster cumingi	255072	exact	urn:lsid:marinespecies.org:taxname:255072	Heliaster cumingi	255072	Heliaster cumingi
Hespererato scabriuscula	594578	exact	urn:lsid:marinespecies.org:taxname:594578	Hespererato scabriuscula	594578	Hespererato scabriuscula
Hildenbrandia	144191	exact	urn:lsid:marinespecies.org:taxname:144191	Hildenbrandia	144191	Hildenbrandia
HILDENBRANDIA	144191	exact	urn:lsid:marinespecies.org:taxname:144191	Hildenbrandia	144191	Hildenbrandia
Hildenbrandia lecannellieri	213854	exact	urn:lsid:marinespecies.org:taxname:213854	Hildenbrandia lecannellieri	213854	Hildenbrandia lecannellieri
Hildenbrandia rubra	145712	exact	urn:lsid:marinespecies.org:taxname:145712	Hildenbrandia rubra	145712	Hildenbrandia rubra
Hipponix pitosus	575162	near_1	urn:lsid:marinespecies.org:taxname:575162	Hipponix pilosus	716495	Pilosabia trigona
Hipponix sp	138072	exact	urn:lsid:marinespecies.org:taxname:138072	Hipponix	138072	Hipponix
Holothuria (Selenkothuria) portovallartensis	241853	exact	urn:lsid:marinespecies.org:taxname:241853	Holothuria (Selenkothuria) portovallartensis	241853	Holothuria (Selenkothuria) portovallartensis
Holothuria sp.	123456	exact	urn:lsid:marinespecies.org:taxname:123456	Holothuria	123456	Holothuria
Hypnea cervicornis	220819	exact	urn:lsid:marinespecies.org:taxname:220819	Hypnea cervicornis	145635	Hypnea spinella
Hypnea sp.	144157	exact	urn:lsid:marinespecies.org:taxname:144157	Hypnea	144157	Hypnea
Hypnea valentiae	145636	exact	urn:lsid:marinespecies.org:taxname:145636	Hypnea valentiae	145636	Hypnea valentiae
Idotea balthica	119039	exact	urn:lsid:marinespecies.org:taxname:119039	Idotea balthica	119039	Idotea balthica
Iridaea cordata	325522	exact	urn:lsid:marinespecies.org:taxname:325522	Iridaea cordata	325522	Iridaea cordata
Iridaea tuberculosa	371712	exact	urn:lsid:marinespecies.org:taxname:371712	Iridaea tuberculosa	371712	Iridaea tuberculosa
